epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,120.591,0.46529,0.38384,1.1293,0.85593,0.79167,0.84674,0.5358,1.2972,0.97684,2.08337,0.000580593,0.000580593,0.000580593
43,123.457,0.40684,0.32583,1.1407,0.40071,0.5,0.34802,0.1466,2.9692,1.82921,3.87537,0.000594283,0.000594283,0.000594283
44,126.316,0.4905,0.34117,1.19048,0.20456,0.16667,0.10207,0.0395,4.00011,2.5706,4.44547,0.000607958,0.000607958,0.000607958
45,129.17,0.48926,0.38725,1.18696,0.24635,0.16667,0.06889,0.01206,3.95612,2.30222,4.31522,0.00062162,0.00062162,0.00062162
46,132.004,0.50376,0.37843,1.17162,0.12599,0.08333,0.05435,0.0211,4.02731,2.09716,4.73303,0.000635267,0.000635267,0.000635267
47,134.856,0.452,0.34109,1.11065,0.22742,0.25,0.12714,0.04363,3.45382,2.10646,4.2146,0.0006489,0.0006489,0.0006489
48,137.723,0.44535,0.36064,1.13282,0.52177,0.5,0.47932,0.08937,2.9059,1.97628,3.96775,0.000662519,0.000662519,0.000662519
49,140.588,0.45531,0.33313,1.14885,0.36487,0.58333,0.37121,0.09716,2.77911,1.99356,3.60746,0.000676124,0.000676124,0.000676124
50,143.459,0.45153,0.32317,1.13903,0.39256,0.5,0.33672,0.06212,2.80315,1.982,3.78624,0.000689715,0.000689715,0.000689715
51,146.299,0.45433,0.35651,1.109,0.31876,0.58333,0.39593,0.1134,2.84936,1.95047,3.83564,0.000696328,0.000696328,0.000696328
52,149.192,0.49329,0.41917,1.19076,0.5845,0.79167,0.56847,0.19434,2.46296,1.66798,3.76986,0.000695975,0.000695975,0.000695975
53,152.063,0.51307,0.37492,1.16501,0.38205,0.33333,0.22678,0.11222,2.76394,1.89698,4.14633,0.000695622,0.000695622,0.000695622
54,154.9,0.47258,0.35056,1.14103,0.10465,0.16667,0.04926,0.01466,3.90081,3.23009,5.43048,0.000695268,0.000695268,0.000695268
55,157.772,0.44043,0.34914,1.1525,0.20904,0.33043,0.13057,0.03953,3.38394,2.32204,4.71905,0.000694915,0.000694915,0.000694915
56,160.623,0.43344,0.34647,1.1129,0.61715,0.16667,0.20142,0.04174,3.80315,2.25613,5.39182,0.000694561,0.000694561,0.000694561
57,163.491,0.45535,0.35647,1.15953,0.17395,0.29167,0.10569,0.02353,3.86201,2.17138,5.92233,0.000694208,0.000694208,0.000694208
58,166.338,0.43598,0.34444,1.14656,0.4252,0.33333,0.31821,0.05186,3.34088,2.00845,5.72929,0.000693854,0.000693854,0.000693854
59,169.206,0.405,0.31118,1.12197,0.2538,0.5,0.18885,0.03833,3.10729,2.14698,4.09572,0.000693501,0.000693501,0.000693501
60,172.068,0.44965,0.32815,1.167,0.00326,0.20833,0.00243,0.00043,4.61484,2.8254,5.4426,0.000693148,0.000693148,0.000693148
61,174.914,0.42455,0.32385,1.09953,0.27568,0.54167,0.21303,0.08755,2.18079,1.997,2.7323,0.000692794,0.000692794,0.000692794
62,177.802,0.47335,0.36214,1.16796,0.27099,0.58333,0.26926,0.10283,1.84724,2.34196,2.57464,0.000692441,0.000692441,0.000692441
